Yr/Seas ,Host ,Nationalities ,Leader (s) ,Route(s) ,Result ,Smtrs ,Dead ,Exped ID 
1991 Spr,China,"UK, Australia, France, New Zealand, Norway, USA",Harold Taylor,NE Ridge (to 8000m) / N Col-NE Ridge,Success,2,,EVER-911-10
1991 Spr,China,"Italy, Czechoslovakia",Oreste Forno,N Face (Great Couloir),Success,2,,EVER-911-11
1991 Spr,Nepal,"Switzerland, France, Germany",Norbert Joos,S Col-SE Ridge,Bad Weather,,,EVER-911-12
1991 Spr,China,"Austria, Czechoslovakia, Germany, Italy, Switzerland",Marcus Schmuck,N Col-NE Ridge (to 8550m) / NE Ridge (to 7900m),Bad Weather,,1,EVER-911-13
1991 Spr,Nepal,"France, Germany",Marc Batard,S Col-SE Ridge,Other,,,EVER-911-14
1991 Spr,China,Japan,Shinichi Hirano,E Ridge (to NE Ridge),Route Difficulty,,,EVER-911-15
1991 Spr,China,Japan,Muneo Nukita,N Col-NE Ridge,Success,4,1,EVER-911-16
1991 Sum,China,"Belgium, France, Luxembourg",Alain Hubert,N Face (Hornbein Couloir),Bad Weather,,,EVER-912-01
1991 Aut,China,India,Pranesh Chakraborty,N Face,Bad Conditions,,,EVER-913-01
1991 Aut,China,"Canada, Finland, USA",Peter Austen,N Col-NE Ridge,Bad Weather,,,EVER-913-02
1991 Aut,Nepal,Spain,Juan Carlos Gomez Ramos,S Col-SE Ridge,Success,4,,EVER-913-03
1991 Aut,Nepal,"Nepal, Belgium, France",Pasang Lhamu Sherpa,S Col-SE Ridge,Bad Weather,,,EVER-913-04
1991 Aut,Nepal,Spain,Josu Bereziartua,S Col-SE Ridge,Lack of Supplies,,,EVER-913-05
1991 Aut,Nepal,"France, Brazil, UK",Denis Pivot,S Col-SE Ridge,Bad Weather,,,EVER-913-06
1991 Aut,Nepal,"Poland, Australia, Germany, USA",Alexander Lwow,Khumbutse-W Ridge (to 7699m) / S Col-SE Ridge (to 6700m),Bad Weather,,,EVER-913-07
1991 Aut,Nepal,"Australia, New Zealand",Michael Groom,S Col-SE Ridge,"Illness, AMS",,,EVER-913-08
1991 Aut,Nepal,Japan,Yasuo Iwazoe,S Col-SE Ridge,Lack of Supplies,,,EVER-913-09
1991 Aut,Nepal,UK,Jonathan Pratt,S Col-SE Ridge,Bad Weather,,,EVER-913-10
1991 Aut,Nepal,"USSR, Ukraine, USA",Vladamir Balyberdin,S Col-SE Ridge / W Cwm-W Ridge (to 8100m+),Success,4,,EVER-913-11
1991 Aut,Nepal,"Germany, Switzerland",Hans Eitel,S Col-SE Ridge,Bad Weather,,,EVER-913-12
1991 Aut,China,Brazil,Thomaz Brandolin,N Col (Messner 1980 rte),Bad Weather,,,EVER-913-13
1991 Win,Nepal,Japan,Kunaiki Yagihara,SW Face,Bad Weather,,,EVER-914-01
1991 Win,Nepal,S Korea,Kim Kwang-Jin,S Pillar-SE Ridge,"Illness, AMS",,,EVER-914-02
1991 Win,Nepal,S Korea,Kim Teuk-Hee,S Col-SE Ridge,Bad Weather,,,EVER-914-03
1992 Spr,Nepal,"UK, Nepal",Mike Kefford,W Cwm-W Ridge-N Face (Hornbein Couloir),Bad Weather,,,EVER-921-01
1992 Spr,Nepal,"New Zealand, Australia, Belgium, Hong Kong, Israel, UK, USA",Rob Hall,S Col-SE Ridge,Success,14,,EVER-921-02
1992 Spr,Nepal,India,Deepak Kulkarni,S Col-SE Ridge,Other,,2,EVER-921-03
1992 Spr,Nepal,Spain,Francisco Soria,S Pillar-SE Ridge,Success,5,,EVER-921-04
1992 Spr,Nepal,USSR,Viacheslav Volkov,SW Face (to 7250m) / S Col-SE Ridge,Success,8,,EVER-921-05
1992 Spr,Nepal,Netherlands,Ronald Naar,S Col-SE Ridge,Success,4,,EVER-921-06
1992 Spr,Nepal,"USA, S Africa, UK",Todd Burleson,S Col-SE Ridge,Success,12,,EVER-921-07
1992 Spr,Nepal,Spain,Albino Quinteiro,S Col-SE Ridge,Bad Weather,,1,EVER-921-08
1992 Spr,Nepal,Chile,Mauricio Purto,S Col-SE Ridge,Success,3,,EVER-921-09
1992 Spr,China,"USA, Canada",Daniel Larson,N Col-NE Ridge,Bad Conditions,,,EVER-921-10
1992 Spr,Nepal,India,Hukam Singh,S Col-SE Ridge,Success,8,1,EVER-921-11
1992 Spr,Nepal,"UK, Czechoslovakia, USSR",Jonathan Pratt,S Col-SE Ridge,Success,1,,EVER-921-12
1992 Spr,China,"Japan, Kazakhstan","Motomu Ohmyia, Valeri Khrishchati",NE Ridge,Accident,,1,EVER-921-13
1992 Spr,Nepal,"Spain, USA",Cesar Perez de Tudela,S Col-SE Ridge,Route Difficulty,,,EVER-921-14
1992 Spr,China,Chile,Rodrigo Jordan,E Face-S Col-SE Ridge,Success,3,,EVER-921-15
1992 Spr,Nepal,France,Denis Chatrefou,S Col-SE Ridge,Bad Weather,,,EVER-921-16
1992 Spr,China,"Germany, Austria, Italy, Netherlands, Switzerland",Sigi Hupfauer,N Col-NE Ridge,Bad Weather,,,EVER-921-17
1992 Aut,China,Taiwan,Gau Ming-Ho,N Col-NE Ridge,Bad Weather,,,EVER-923-01
1992 Aut,China,Italy,Augusto Zanotti,N Face-N Ridge,Bad Weather,,,EVER-923-02
1992 Aut,Nepal,Spain,Pedro Tous,S Col-SE Ridge,Success,8,,EVER-923-03
1992 Aut,China,"Switzerland, Italy",Aldo Verzaroli,N Col-N Ridge-N Face (Great Couloir),Bad Weather,,,EVER-923-04
1992 Aut,China,USA,Douglas Hansen,N Face-N Ridge,Bad Conditions,,,EVER-923-05
1992 Aut,Nepal,"Germany, Austria, Switzerland",Ralf Dujmovits,S Col-SE Ridge,Success,2,,EVER-923-06
1992 Aut,Nepal,"USA, Mexico, Peru","Sergio Fitch Watkins, Wally Berg",S Col-SE Ridge,Success,5,,EVER-923-07
1992 Aut,Nepal,"France, Canada, Mexico, Nepal, Spain, USA",Michel Vincent,S Col-SE Ridge,Success,2,,EVER-923-08
1992 Aut,Nepal,"France, Belgium, Luxembourg",Bernard Muller,S Col-SE Ridge,Success,1,,EVER-923-09
1992 Aut,Nepal,"Italy, France, UK",Agostino Da Polenza,S Col-SE Ridge,Success,9,,EVER-923-10
1992 Aut,China,"Lithuania, Canada, Latvia, USA",Alex Bertulis,N Col-NE Ridge,Bad Weather,,,EVER-923-11
1992 Aut,Nepal,"Ukraine, France, USSR",Mikhail Turkevich,SW Face,Bad Weather,,,EVER-923-12
1992 Aut,Nepal,"France, Portugal, Switzerland",Michel Pelle,S Col-SE Ridge,Success,5,1,EVER-923-13
1992 Aut,Nepal,Nepal,Iman Gurung,S Col-SE Ridge,"Illness, AMS",,1,EVER-923-14
1992 Win,Nepal,"UK, USA",Philip Neame,S Col-SE Ridge,Bad Conditions,,,EVER-924-01
1992 Win,Nepal,Spain,Fernando Garrido,S Col-SE Ridge,Lack of Time,,1,EVER-924-02
1993 Spr,Nepal,"USA, Australia",Keith Brown,S Col-SE Ridge,Success,2,,EVER-931-01
1993 Spr,China,"China, Taiwan","Zeng Shu-Sheng, Lee Cheng-Yen",N Col-NE Ridge,Success,6,,EVER-931-02
1993 Spr,Nepal,Spain,Josu Feijoo,S Col-SE Ridge,Success,5,,EVER-931-03
1993 Spr,Nepal,S Korea,Lee Jong-Ryang,SW Face (to 8450m) / S Col-SE Ridge,Success,4,2,EVER-931-04
1993 Spr,Nepal,"USA, Canada, S Africa",Todd Burleson,S Col-SE Ridge,Success,8,,EVER-931-05
1993 Spr,Nepal,S Korea,Jeon Byoung-Man,S Pillar-SE Ridge,Bad Conditions,,,EVER-931-06
1993 Spr,Nepal,USA,"Paul Pfau, Michael Sinclair",S Col-SE Ridge,Success,10,,EVER-931-07
1993 Spr,Nepal,S Korea,Ji Hyun-Ok,S Col-SE Ridge,Success,7,,EVER-931-08
1993 Spr,Nepal,"India, Nepal",Bachendri Pal,S Col-SE Ridge,Success,18,,EVER-931-09
1993 Spr,Nepal,"Australia, India, Macedonia",Tashi Tenzing,S Col-SE Ridge,Success,2,1,EVER-931-10
1993 Spr,Nepal,Nepal,Pasang Lhamu Sherpa,S Col-SE Ridge,Success,6,2,EVER-931-11
1993 Spr,Nepal,"New Zealand, Finland, France, UK, USA","Rob Hall, Gary Ball",S Col-SE Ridge,Success,7,,EVER-931-12
1993 Spr,China,"Ireland, UK",Dawson Stelfox,N Col-NE Ridge,Success,1,,EVER-931-13
1993 Spr,Nepal,"Russia, Belarus",Alexender Volguine,W Cwm-W Ridge (to 6800m) / S Col-SE Ridge,Success,4,,EVER-931-14
1993 Spr,Nepal,"UK, Australia, Canada, USA","John Barry, Peter Earl",S Col-SE Ridge,Success,4,,EVER-931-15
1993 Spr,Nepal,Lithuania,Vladas Vitkauskas,S Col-SE Ridge,Success,1,,EVER-931-16
1993 Spr,Nepal,Spain,Lluis Belvis Del Rio,S Col-SE Ridge,Success,3,,EVER-931-17
1993 Spr,China,"Switzerland, Germany","Gaudenz Bass, Christoph Jezler",N Col-NE Ridge,Bad Weather,,,EVER-931-18
1993 Spr,China,S Korea,Oh In-Hwan,N Col-NE Ridge (up); SE Ridge-S Col (down),Success,2,,EVER-931-19
1993 Sum,China,USA,James Wickwire,N Col,Bad Conditions,,,EVER-932-01
1993 Sum,China,"USA, Canada",Robert Anderson,N Face (Great Couloir),Bad Conditions,,,EVER-932-02
1993 Aut,China,India,Amulya Sen,N Col-NE Ridge,Bad Weather,,,EVER-933-01
1993 Aut,China,S Korea,Lim Hyung-Chil,N Col-NE Ridge,Success,2,,EVER-933-02
1993 Aut,Nepal,Spain,Juanito Oiarzabal,S Pillar-SE Ridge,Success,2,1,EVER-933-03
1993 Aut,China,USA,Ed Viesturs,N Face (Great Couloir) (to 7160m) / N Col-NE Ridge (to 7800m),Bad Weather,,,EVER-933-04
1993 Aut,Nepal,"UK, Spain, USA",Stephen Bell,S Col-SE Ridge,Success,16,,EVER-933-05
1993 Aut,Nepal,France,Alain Esteve,S Col-SE Ridge,Success,9,,EVER-933-06
1993 Aut,China,"UK, Australia, Finland, France, Ireland, Poland, Russia, USA",Jonathan Tinker,N Col-NE Ridge,Success,4,1,EVER-933-07
1993 Aut,China,Spain,Eloy Sanchez,N Col-NE Ridge,Bad Weather,,,EVER-933-08
1993 Aut,China,Greece,Konstantinos Tsivelekas,N Col-NE Ridge,Bad Conditions,,,EVER-933-09
1993 Win,Nepal,Japan,Kuniaki Yagihara,SW Face (Bonington rte),Success,6,,EVER-934-01
1994 Spr,China,Canada,"Jamie Clarke, Alan Hobson",N Face (Great Couloir) (to 8000m) / N Col-N Ridge-N Face (to 8685m),"Illness, AMS",,,EVER-941-01
1994 Spr,Nepal,"USA, Canada, Poland, S Africa, UK",Todd Burleson,S Col-SE Ridge,Success,10,,EVER-941-02
1994 Spr,China,"USA, Australia, New Zealand",Eric Simonson,N Col-NE Ridge,Success,5,1,EVER-941-03
1994 Spr,Nepal,"New Zealand, Germany, Norway, USA",Rob Hall,S Col-SE Ridge,Success,11,,EVER-941-04
1994 Spr,China,"USA, Canada",David Breashears,E Face-S Col (Venables rte),Bad Conditions,,,EVER-941-05
1994 Spr,China,Taiwan,Chang Jui-Kong,N Col-NE Ridge (up); Great Couloir (down),Success,1,1,EVER-941-06
1994 Spr,Nepal,Japan,Mitsuyoshi Hongo,S Pillar-SE Ridge,Success,10,,EVER-941-07
1994 Spr,Nepal,USA,Steven Goryl,S Col-SE Ridge,Success,6,,EVER-941-08
1994 Spr,China,Italy,"Giuseppe Vigani, Bruno Ongis",N Face (Great Couloir),Accident,,2,EVER-941-09
1994 Spr,China,Italy,Giuliano De Marchi,N Col-NE Ridge,Lack of Time,,,EVER-941-10
1994 Spr,China,USA,Steven Matous,N Col-NE Ridge,Bad Weather,,,EVER-941-11
1994 Spr,China,"Germany, Austria, Canada, Denmark, UK, USA",Peter Kowalzik,N Col-N Face (Great Couloir),"Illness, AMS",,,EVER-941-12
1994 Spr,China,"New Zealand, Canada, France, Guatemala, Romania, USA",Russell Brice,Couloir on E side of N Ridge (to 8000m) / N Col-NE Ridge (to 7800m),Route Difficulty,,,EVER-941-13
1994 Sum,China,"UK, Australia, Denmark, New Zealand",Nick Banks,N Col-NE Ridge,Bad Conditions,,,EVER-942-01
1994 Aut,China,USA,Tony Lewis,N Face (Great Couloir),Bad Weather,,,EVER-943-01
1994 Aut,Nepal,"UK, USA",Simon Currin,S Col-SE Ridge,Success,4,,EVER-943-02
1994 Aut,China,Norway,Jon Gangdal,N Rib-W Ridge,Accident,,1,EVER-943-03
1994 Aut,China,Russia,Sergei Efimov,N Col-NE Ridge,Bad Weather,,,EVER-943-04
1994 Aut,China,"Czechoslovakia, Italy",Josef Rakoncaj,N Face,Bad Weather,,,EVER-943-05
1994 Aut,Nepal,"France, Belgium, Portugal",Bernard Muller,S Col-SE Ridge,Bad Weather,,,EVER-943-06
1994 Aut,China,France,Daniel Petraud,N Col-NE Ridge,Bad Conditions,,,EVER-943-07
1994 Aut,China,Spain,Rogelio Recio,N Col-NE Ridge,Bad Weather,,,EVER-943-08
1994 Aut,China,"Germany, Austria, Bolivia, Indonesia, Switzerland, USA",Peter Kowalzik,N Col-NE Ridge,Bad Weather,,,EVER-943-09
1994 Aut,Nepal,Indonesia,Anton Patandung,S Col-SE Ridge,Route Difficulty,,,EVER-943-10
1994 Aut,Nepal,Nepal,Kaji Sherpa,S Col-SE Ridge,Bad Weather,,,EVER-943-11
1994 Aut,Nepal,Japan,Takashi Miyahara,S Col-SE Ridge,Success,4,,EVER-943-12
1995 Spr,Nepal,"New Zealand, France, Japan, Poland, USA",Rob Hall,S Col-SE Ridge,Success,1,,EVER-951-01
1995 Spr,China,Japan,Tadao Kanzaki,NE Ridge,Success,6,,EVER-951-02
1995 Spr,China,Taiwan,Liang Ming-Pen,N Col-NE Ridge,Success,5,,EVER-951-03
1995 Spr,China,"USA, Australia",Paul Pfau,N Col-NE Ridge,Success,13,,EVER-951-04
1995 Spr,China,"Italy, Poland",Marco Bianchi,N Col-NE Ridge,Success,3,,EVER-951-05
1995 Spr,China,Russia,Kazbek Khamitsayev,N Col-NE Ridge,Success,8,,EVER-951-06
1995 Spr,China,"USA, Peru",Thor Kieser,N Col-NE Ridge,Success,2,,EVER-951-07
1995 Spr,China,"UK, Australia, Canada, Finland, France, New Zealand, Romania, USA",Russell Brice,N Col-NE Ridge,Success,4,,EVER-951-08
1995 Spr,Nepal,"USA, S Africa",Todd Burleson,S Col-SE Ridge,Bad Conditions,,1,EVER-951-09
1995 Spr,China,Austria,Wilhelm Bauer,N Col-NE Ridge,Success,1,,EVER-951-10
1995 Spr,China,"Latvia, Italy","Reinhard Patscheider, Teodor Kirsis",N Col-NE Ridge,Success,3,,EVER-951-11
1995 Spr,Nepal,"USA, Argentina, India",Robert Hoffman,S Col-SE Ridge,Success,5,,EVER-951-12
1995 Spr,China,"UK, Brazil, Denmark, France, Ireland, Kazakhstan, Poland, Russia",Henry Todd,N Col-NE Ridge,Success,8,,EVER-951-13
1995 Spr,China,"UK, Australia, France, Ireland, Russia, Turkey, USA",Jonathan Tinker,N Col-NE Ridge,Success,13,,EVER-951-14
1995 Spr,China,UK,Alison Hargreaves,N Col-NE Ridge,Success,1,,EVER-951-15
1995 Sum,China,USA,Robert Anderson,Left side of N Face into Great Couloir,Bad Conditions,,,EVER-952-01
1995 Sum,China,Switzerland,Aldo Verzaroli,N Col-NE Ridge,Bad Conditions,,,EVER-952-02
1995 Sum,China,USA,David Breashears,N Col-NE Ridge,Bad Conditions,,,EVER-952-03
1995 Aut,China,India,Atanu Chatterjee,N Col-NE Ridge,Lack of Supplies,,,EVER-953-01
1995 Aut,China,Spain,Albert Castellet,N Face (Japanese & Hornbein Couloirs) (to 6600m) / N Col-NE Ridge (to 8500m),Bad Weather,,1,EVER-953-02
1995 Aut,Nepal,S Korea,Cho Hyung-Gyu,SW Face (Bonington rte),Success,4,,EVER-953-03
1995 Aut,China,S Korea,Lee Dong-Yeon,N Col-NE Ridge,"Illness, AMS",,,EVER-953-04
1995 Aut,China,S Korea,Kim Jong-Ho,N Col-NE Ridge,Success,2,1,EVER-953-05
1995 Aut,China,S Korea,Lee Dong-Ho,NE Ridge (to 7700m) / N Col-NE Ridge,Success,3,1,EVER-953-06
1996 Spr,Nepal,Taiwan,Gau Ming-Ho (Makalu),S Col-SE Ridge,Success,3,1,EVER-961-01
1996 Spr,Nepal,Norway,Petter Neby,SW Face (Bonington rte),Other,,,EVER-961-02
1996 Spr,Nepal,"UK, Denmark, Finland, USA",Malcolm Duff,S Pillar-S Col-SE Ridge,Route Difficulty,,,EVER-961-03
1996 Spr,Nepal,"USA, Austria, India, Japan, Spain, UK",David Breashears,S Col-SE Ridge,Success,10,,EVER-961-04
1996 Spr,Nepal,Spain,Jose Antonio Martinez,S Plr-S Col-SE Ridge (up); S Col-Lhot W Face (down),Success,1,,EVER-961-05
1996 Spr,Nepal,Yugoslavia,Radosav Nikcevic,S Col-SE Ridge,Route Difficulty,,,EVER-961-06
1996 Spr,China,Japan,"Katsutoshi Ikebe, Mitsuo Uematsu",N Col-NE Ridge,Success,10,,EVER-961-07
1996 Spr,Nepal,"S Africa, UK",Ian Woodall,S Col-SE Ridge,Success,6,1,EVER-961-08
1996 Spr,China,Russia,Sergei Antipine,NE Ridge-N Ridge-N Face (up); N Ridge-N Col (down),Success,3,,EVER-961-09
1996 Spr,China,"India, Mongolia",Mohinder Singh,N Col-NE Ridge,Success,8,3,EVER-961-10
1996 Spr,Nepal,France,Thierry Renard,S Col-SE Ridge,Success,3,,EVER-961-11
1996 Spr,China,"Germany, UK",Goetz Wiegand,N Col-NE Ridge,Lack of Supplies,,,EVER-961-12
1996 Spr,Nepal,"USA, Denmark, Kazakhstan",Scott Fischer,S Col-SE Ridge,Success,13,2,EVER-961-13
1996 Spr,China,"Norway, Czech Republic, Italy",Jon Gangdal,N Col-NE Ridge,Success,8,,EVER-961-14
1996 Spr,Nepal,"New Zealand, Australia, Canada, Japan, S Africa, USA",Rob Hall,S Col-SE Ridge,Success,8,4,EVER-961-15
1996 Spr,Nepal,"UK, Australia, Denmark, Sweden, USA",Henry Todd,S Col-SE Ridge,Bad Weather,,,EVER-961-16
1996 Spr,China,Spain,Joan Cardona,W Rongbuk Glacier-N Col-NE Ridge,Bad Weather,,,EVER-961-17
1996 Spr,China,"UK, Netherlands, Norway, USA",Simon Lowe,N Col-NE Ridge,Success,5,,EVER-961-18
1996 Spr,Nepal,Sweden,Goran Kropp,S Plr-S Col-SE Ridge (up); SE Ridge-S Col (down),Success,2,,EVER-961-19
1996 Spr,China,Japan,Koji Yamazaki,N Col-NE Ridge,Success,4,,EVER-961-20
1996 Spr,China,Taiwan,Tsai Fong-Bin,N Col-NE Ridge,Lack of Supplies,,,EVER-961-21
1996 Spr,China,"Hungary, Austria",Sandor Nagy,N Col-N Face (Great Couloir) (to 8300m) / N Col-N Face (Great Couloir)-N Ridge (to 8250m),Bad Weather,,1,EVER-961-22
1996 Spr,Nepal,"USA, Switzerland, UK",Peter Athans,S Col-SE Ridge,Bad Weather,,,EVER-961-23
1996 Spr,China,"Greece, Bulgaria",Kostas Tsivelekas,N Col-NE Ridge,Bad Weather,,,EVER-961-24
1996 Spr,China,"Italy, Switzerland",Massimo Lugli,N Col-NE Ridge,Route Difficulty,,,EVER-961-25
1996 Spr,China,"Germany, Austria, Mexico",Peter Kowalzik,N Col-NE Ridge,Success,2,,EVER-961-26
1996 Spr,China,"Slovenia, Croatia",Viki Groselj,N Col-N Ridge-N Face (Great Couloir),"Illness, AMS",,,EVER-961-27
1996 Spr,Nepal,Nepal,Sonam Gyaljen Sherpa,S Col-SE Ridge,Other,,,EVER-961-28
1996 Spr,China,"Switzerland, Austria",Norbert Joos,N Col-NE Ridge,Bad Weather,,,EVER-961-29
1996 Spr,China,Italy,Hans Kammerlander,N Col-NE Ridge,Success,1,,EVER-961-30
1996 Sum,China,"Switzerland, Australia, Canada, France, USA",Jean Troillet,N Face (Japanese Couloir) (to 7300m) / N Ridge-N Face (to 8300m),Bad Weather,,,EVER-962-01
1996 Aut,China,Indonesia,Clara Sumarwati,N Col-NE Ridge,Success,6,,EVER-963-01
1996 Aut,Nepal,S Korea,Lim Hyung-Chil,S Col-SE Ridge,Success,5,1,EVER-963-02
1996 Aut,Nepal,"Germany, Austria",Ralf Dujmovits,S Col-SE Ridge,Bad Conditions,,,EVER-963-03
1996 Aut,Nepal,Japan,Hirofumi Konishi,S Col-SE Ridge,Bad Conditions,,1,EVER-963-04
1996 Aut,China,"Czech Republic, Slovakia, UK",Vaclav Suchel,N Col-NE Ridge,Bad Weather,,,EVER-963-05
1996 Aut,Nepal,"France, Belgium, Switzerland",Bernard Muller,S Col-SE Ridge,Bad Conditions,,1,EVER-963-06
1996 Aut,China,S Africa,Alexander Harris,N Col-NE Ridge,Bad Weather,,,EVER-963-07
1996 Aut,China,"USA, Germany, Yugoslavia",Craig Calonica,N Col-NE Ridge,Other,,,EVER-963-08
1997 Spr,Nepal,"Indonesia, Kazakhstan, Russia",Edhie Wibowo,S Col-SE Ridge,Success,5,,EVER-971-01
1997 Spr,China,Russia,"Valeri Kouzin, Kazbek Khamistaev",N Face (a rib to 7500m)-N Ridge,Success,2,,EVER-971-02
1997 Spr,China,"Indonesia, Poland",Edhie Wibowo,N Col-NE Ridge,"Illness, AMS",,,EVER-971-03
1997 Spr,Nepal,Malaysia,Nor Ramlle Sulaiman,S Col-SE Ridge,Success,7,1,EVER-971-04
1997 Spr,Nepal,Japan,"Hiroshi Okura, Kiyohiko Tsujita",S Col-SE Ridge,Bad Weather,,,EVER-971-05
1997 Spr,Nepal,"USA, Canada","Steve Matous, Jason Edwards",S Col-SE Ridge,Success,6,,EVER-971-06
1997 Spr,Nepal,"UK, Iceland, Mexico",Jonathan Tinker,S Col-SE Ridge,Success,11,,EVER-971-07
1997 Spr,China,"Kazakhstan, Australia, Canada, Georgia, Russia",Ervand T. Ilyinski,N Col-NE Ridge,Success,13,3,EVER-971-08
1997 Spr,Nepal,"UK, Ireland, Italy, Latvia, Mexico, USA",Henry Todd,S Col-SE Ridge,Success,3,,EVER-971-09
1997 Spr,China,"New Zealand, Belgium, Canada, France, Japan, Netherlands, UK, USA",Russell Brice,N Col-NE Ridge,Success,2,,EVER-971-10
1997 Spr,Nepal,Sweden,Thomas Sjogren,S Col-SE Ridge,Lack of Time,,,EVER-971-11
1997 Spr,China,China,Da Chimi,N Col-NE Ridge,Success,3,,EVER-971-12
1997 Spr,Nepal,USA,David Breashears,S Col-SE Ridge,Success,5,,EVER-971-13
1997 Spr,China,"France, Bulgaria",Antoine de Choudens,N Col-NE Ridge,Success,3,,EVER-971-14
1997 Spr,Nepal,"New Zealand, Australia, Finland, Spain, USA",Guy Cotter,S Col-SE Ridge,Success,7,,EVER-971-15
1997 Spr,China,Germany,Peter Kowalzik,N Col-NE Ridge,Accident,,1,EVER-971-16
1997 Spr,China,"Poland, Germany, Portugal, USA",Ryszard Pawlowski,N Col-NE Ridge,Lack of Supplies,,,EVER-971-17
1997 Spr,China,Georgia,Afi Gigani,N Col-NE Ridge,Other,,,EVER-971-18
1997 Spr,China,Belgium,Pascal Debrouwer,N Col-NE Ridge,Lack of Supplies,,,EVER-971-19
1997 Spr,China,Austria,Wilfried Studer,N Col-NE Ridge,Bad Weather,,,EVER-971-20
1997 Spr,Nepal,"USA, UK",Todd Burleson,S Col-SE Ridge,Success,7,1,EVER-971-21
1997 Spr,China,Italy,Reinhard Patscheider,N Col-NE Ridge,"Illness, AMS",,,EVER-971-22
1997 Spr,China,Pakistan,Nazir Sabir,N Col-NE Ridge,Bad Weather,,,EVER-971-23
1997 Spr,China,"Croatia, Bosnia-Herzegovina, Germany, Slovenia",Darko Berljak,N Col-NE Ridge,Success,2,,EVER-971-24
1997 Spr,China,S Korea,Lee Dong-Yeon,N Col-NE Ridge,Success,2,1,EVER-971-25
1997 Spr,Nepal,"UK, Australia, Mexico",Malcolm Duff,S Col-SE Ridge,Success,5,1,EVER-971-26
1997 Spr,Nepal,Nepal,Bhakta Bahadur Thakuri,S Col-SE Ridge,Success,2,,EVER-971-27
1997 Spr,China,Brazil,Paulo Coelho,N Col-NE Ridge,Bad Weather,,,EVER-971-28
1997 Aut,China,Japan,Masafumi Todaka,N Face (Japanese Coulior) (to 6400m) / N Col-NE Ridge (to 8000m),Bad Weather,,,EVER-973-01
1997 Aut,China,Switzerland,Jean Troillet,N Col-NE Ridge,Route Difficulty,,,EVER-973-02
1997 Aut,China,Colombia,Cristobal Von Rothkirch,N Col-NE Ridge,Bad Weather,,,EVER-973-03
1997 Aut,China,Spain,Josep Maria Maixe,N Col-NE Ridge,Bad Weather,,,EVER-973-04
1997 Aut,China,"USA, Germany",Craig Calonica,N Col-NE Ridge,"Illness, AMS",,,EVER-973-05
1997 Aut,China,Spain,Jordi Tosas,N Col-NE Ridge,Bad Weather,,,EVER-973-06
1997 Aut,China,UK,Terry Stubbs,N Col-NE Ridge,Bad Weather,,,EVER-973-07
1997 Aut,China,Canada,George Tumpach,N Col-NE Ridge,Bad Weather,,,EVER-973-08
1997 Aut,China,S Korea,Kim Teuk-Hee,N Col-NE Ridge,Accident,,1,EVER-973-09
1997 Aut,Nepal,Spain,Juan Ramon Madariaga,S Col-SE Ridge,Bad Weather,,,EVER-973-10
1997 Aut,Nepal,"France, Canada",Yvan Estienne,S Col-SE Ridge,Bad Weather,,,EVER-973-11
1997 Aut,Nepal,"Mexico, Costa Rica",Ana Mendez de Luca,S Col-SE Ridge,Did not Climb,,,EVER-973-12
1998 Spr,Nepal,Denmark,Michael Strynoe,S Col-SE Ridge,"Illness, AMS",,,EVER-981-01
1998 Spr,Nepal,Bolivia,Bernardo Guarachi,S Col-SE Ridge,Success,1,,EVER-981-02
1998 Spr,Nepal,"Singapore, Malaysia, UK",David Lim,S Col-SE Ridge,Success,6,,EVER-981-03
1998 Spr,China,"Slovakia, China","Pavol Lazar, Yu Liang-Pu",N Col-NE Ridge,Success,4,,EVER-981-04
1998 Spr,China,Spain,Joseba Elorrieta,N Face (Japanese Couloir area),Bad Conditions,,,EVER-981-05
1998 Spr,Nepal,"USA, UK",Wally Berg,S Col-SE Ridge,Success,1,,EVER-981-06
1998 Spr,China,"Russia, Estonia, France, Georgia, USA",Boris Sedousov,N Col-NE Ridge,Success,8,2,EVER-981-07
1998 Spr,Nepal,"USA, Argentina, UK",Tom Whittaker,S Col-SE Ridge,Success,6,,EVER-981-08
1998 Spr,Nepal,"UK, Australia, Canada, Mexico",Henry Todd,S Col-SE Ridge,Success,5,,EVER-981-09
1998 Spr,China,"Russia, Belarus",Vladimir Shataev,N Col-NE Ridge,Success,1,,EVER-981-10
1998 Spr,Nepal,Sweden,Thomas Sjogren,S Col-SE Ridge,Bad Weather,,,EVER-981-11
1998 Spr,Nepal,Iran,Sadegh Aghajani Kalkhoran,S Col-SE Ridge,Success,7,,EVER-981-12
1998 Spr,Nepal,"UK, Canada, Ireland, USA",David Walsh,S Col-SE Ridge,Success,5,,EVER-981-13
1998 Spr,China,USA,David Hahn,N Col-NE Ridge,Success,6,,EVER-981-14
1998 Spr,China,Japan,Hitoshi Onodera,N Col-NE Ridge,Success,9,,EVER-981-15
1998 Spr,China,Japan,Noriyuki Muraguchi,N Col-NE Ridge,Success,5,,EVER-981-16
1998 Spr,China,India,Hrishikesh Yadav,N Col-NE Ridge,Success,8,,EVER-981-17
1998 Spr,China,Uzbekistan,Anatoli Shabanov,N Col-NE Ridge,Success,11,,EVER-981-18
1998 Spr,China,Poland,Jacek Berbeka,N Col-NE Ridge,Bad Weather,,,EVER-981-19
1998 Spr,China,Czech Republic,Zdenek Hruby,N Col-NE Ridge,Success,2,,EVER-981-20
