date,time,hour_of_the_day_,part_of_body,side,number_of_times,type,location,datetime
Feb 18,21:03,21,Hand,Right,1,Brush,Meal,2026-02-18 21:03:00
Feb 18,21:14,21,Hand,Right,1,Pinch,Meal,2026-02-18 21:14:00
Feb 18,21:16,21,Hand,Right,1,Pinch,Meal,2026-02-18 21:16:00
Feb 18,21:19,21,Hand,Right,1,Scracth,Meal,2026-02-18 21:19:00
Feb 18,21:21,21,Hand,Right,1,Scracth,Meal,2026-02-18 21:21:00
Feb 18,21:24,21,Hand,Right,1,Pinch,Meal,2026-02-18 21:24:00
Feb 18,21:27,21,Hand,Right,2,Pinch,Meal,2026-02-18 21:27:00
Feb 18,21:36,21,Hand,Right,2,Pinch,Meal,2026-02-18 21:36:00
Feb 18,21:40,21,Hand,Right,1,Scracth,Meal,2026-02-18 21:40:00
Feb 18,21:42,21,Hand,Right,1,Scracth,Meal,2026-02-18 21:42:00
Feb 18,21:45,21,Hand,Right,1,Scracth,Meal,2026-02-18 21:45:00
Feb 18,21:47,21,Hand,Right,2,Pinch,Meal,2026-02-18 21:47:00
Feb 18,21:49,21,Hand,Right,1,Pinch,Meal,2026-02-18 21:49:00
Feb 18,22:26,22,Hand,Right,1,Pinch,Home,2026-02-18 22:26:00
Feb 18,23:23,23,Hand,Right,1,Scracth,Home,2026-02-18 23:23:00
Feb 19,0:06,0,Hand,Right,1,Pinch,Home,2026-02-19 00:06:00
Feb 19,11:08,11,Hand,Right,1,Scracth,Home,2026-02-19 11:08:00
Feb 19,11:13,11,Shoulder,Right,1,Brush,Home,2026-02-19 11:13:00
Feb 19,11:24,11,Hand,Left,2,Pinch,Commute,2026-02-19 11:24:00
Feb 19,11:24,11,Hand,Left,1,Brush,Commute,2026-02-19 11:24:00
Feb 19,11:26,11,Hand,Left,2,Pinch,Commute,2026-02-19 11:26:00
Feb 19,11:30,11,Hand,Right,1,Scracth,Commute,2026-02-19 11:30:00
Feb 19,11:37,11,Hand,Right,1,Scracth,School,2026-02-19 11:37:00
Feb 19,11:39,11,Hand,Left,1,Scracth,School,2026-02-19 11:39:00
Feb 19,12:17,12,Hand,Right,1,Scracth,School,2026-02-19 12:17:00
Feb 19,12:21,12,Hand,Left,1,Scracth,School,2026-02-19 12:21:00
Feb 19,12:24,12,Hand,Right,1,Brush,School,2026-02-19 12:24:00
Feb 19,13:44,13,Hand,Right,2,Pinch,School,2026-02-19 13:44:00
Feb 19,13:46,13,Hand,Right,1,Scracth,School,2026-02-19 13:46:00
Feb 19,13:55,13,Hand,Right,1,Scracth,School,2026-02-19 13:55:00
Feb 19,13:58,13,Hand,Right,1,Brush,School,2026-02-19 13:58:00
Feb 19,14:20,14,Hand,Right,1,Scracth,School,2026-02-19 14:20:00
Feb 19,14:37,14,Hand,Right,1,Scracth,School,2026-02-19 14:37:00
Feb 19,14:45,14,Hand,Left,1,Scracth,School,2026-02-19 14:45:00
Feb 19,15:24,15,Hand,Left,1,Scracth,School,2026-02-19 15:24:00
Feb 19,15:26,15,Hand,Left,1,Pinch,School,2026-02-19 15:26:00
Feb 19,15:29,15,Hand,Left,1,Pinch,School,2026-02-19 15:29:00
Feb 19,15:51,15,Hand,Right,1,Scracth,School,2026-02-19 15:51:00
Feb 19,16:26,16,Hand,Left,1,Scracth,Commute,2026-02-19 16:26:00
Feb 19,16:33,16,Hand,Right,1,Scracth,Commute,2026-02-19 16:33:00
Feb 19,16:42,16,Hand,Right,1,Scracth,Commute,2026-02-19 16:42:00
Feb 19,17:24,17,Hand,Right,1,Scracth,Meal,2026-02-19 17:24:00
Feb 19,17:44,17,Hand,Right,1,Scracth,Meal,2026-02-19 17:44:00
Feb 19,17:50,17,Hand,Left,1,Scracth,Meal,2026-02-19 17:50:00
Feb 19,17:58,17,Hand,Left,1,Scracth,Meal,2026-02-19 17:58:00
Feb 19,18:38,18,Hand,Left,1,Scracth,Event,2026-02-19 18:38:00
Feb 19,19:10,19,Hand,Right,1,Scracth,Event,2026-02-19 19:10:00
Feb 19,19:24,19,Hand,Left,1,Brush,Event,2026-02-19 19:24:00
